,12GHA01005,12GHA01010,12GHA01014,12GHA01015,12GHA01018,12GHA01019,12GHA01020,12GHA01021,12GHA01022,12GHA01026,12GHA01028,12GHA01029,12GHA01030,12GHA01031,12GHA01033,12GHA01034,12GHA01035,12GHA01045,12GHA01048,12GHA01049,12GHA01051,12GHA01065,12GHA01067,12GHA01069,12GHA01071,12GHA01073,12GHA01074,12GHA01077,12GHA01078,12GHA01079,12GHA01083,12GHA01084,12GHA01085,12GHA01086,12GHA01087,12GHA01096,12GHA01097,12GHA01100,12GHA01102,12GHA01104,12GHA01109,12GHA01110,12GHA01111,12GHA01112,12GHA01114,12GHA01115,12GHA01116,12GHA01117,12GHA01118,12GHA01120,12GHA01125,12GHA01131,12GHA01132,12GHA01135,12GHA01137,12GHA01138,12GHA01140,12GHA01141,12GHA01142,12GHA01144,12GHA01147,12GHA01148,12GHA01152,12GHA01154,12GHA01156,12GHA01159,12GHA01161,12GHA01162,12GHA01163,12GHA01164,12GHA01165,12GHA01168,12GHA01170,12GHA01171,12GHA01172,12GHA01173,12GHA01174,12GHA01175,12GHA01176,12GHA01177,12GHA01179,12GHA01181,12GHA01182,12GHA01183,12GHA01184,12GHA01185,12GHA01187,12GHA01191,12GHA01193,12GHA01194,12GHA01196,12GHA01199,OpataM85,SyntheticW7984
TP131457,B,B,A,A,A,B,B,A,-,A,B,B,A,-,A,A,A,B,B,A,B,-,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,A,B,B,A,A,B,B,B,B,B,A,A,A,B,B,B,B,B,A,A,A,B,B,B,A,B,B,B,A,B,B,B,B,B,A,A,B,A,B,A,A,B,A,A,B
TP131678,B,A,A,B,A,B,A,A,B,B,B,B,B,A,A,A,-,B,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,-,A,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP131685,A,B,B,B,B,B,B,B,A,A,B,B,-,B,B,A,B,A,A,B,A,-,A,B,A,A,A,B,A,B,B,B,B,A,A,A,A,A,A,B,A,B,B,B,A,B,A,B,B,B,B,A,B,B,A,B,A,A,A,B,B,A,B,B,A,A,A,B,B,B,A,A,-,B,A,A,A,A,A,B,A,B,B,B,B,A,B,B,A,A,B,A,A,B
TP131724,B,B,B,A,B,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,-,B,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,A,A,A,B,B,A,B,A,B,B,B,-,A,A,A,B,A,A,A,-,A,A,B,A,A,B,B,A,A,B,B,B,B,B,B,B,A,B,B,A,B,A,B,A,B,A,A,A,B,B,B,A,B,A,A,B
TP131894,B,A,A,B,A,B,A,A,B,B,B,B,B,A,B,A,A,A,B,A,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,B,B,A,A,B,A,B,A,B,B,B,B,B,A,A,B,A,B,B,B,B,A,A,B,A,A,B,B,B,B,B,B,B,A,B,B,A,B,B,A,A,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B
TP131975,A,B,A,B,B,A,A,A,A,A,A,A,-,A,B,A,B,A,B,A,A,-,A,B,B,B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,B,B,A,A,A,A,B,B,B,A,A,B,A,B,B,B,A,A,B,A,-,B,A,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,A,A,B,A,A,A,A,B
TP132312,A,B,A,A,A,A,B,A,A,B,B,B,-,A,A,B,A,-,A,A,A,-,B,B,B,A,A,B,A,B,-,A,A,B,B,B,-,B,A,B,B,B,A,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,A,-,A,A,B,A,B,A,B,A,A,B,A,A,A,B,A,B,A,B,B,A,B,A,A,A,B,B,B,A,B,B,A,B,A,B
TP132822,A,B,A,A,A,B,A,B,A,A,B,A,A,A,B,B,A,B,A,B,B,-,A,A,A,A,-,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,B,A,A,B,B,B,A,A,B,B,A,B,A,B,B,B,A,B,B,A,A,B,A,B,A,B,A,A,A,B,B,B,A,B,B,B,B,A,A,B
TP132864,A,A,B,B,B,B,B,A,B,B,B,A,A,B,A,A,B,B,B,A,B,-,A,B,A,A,B,A,A,B,A,A,A,B,-,B,A,A,-,A,B,A,B,B,B,A,A,B,A,B,A,B,A,B,A,A,A,A,B,A,A,B,A,A,A,B,B,B,A,B,A,A,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP132981,B,A,A,B,A,B,A,A,B,B,B,B,B,-,A,A,-,B,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B,B,A,B,A,A,A,A,A,B
TP133003,A,A,A,A,A,B,B,B,B,A,B,B,-,A,A,B,B,B,A,B,B,-,A,A,B,B,B,B,A,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,A,B,B,B,B,A,A,B,A,B,B,A,B,A,B,A,B,B,A,A,B,A,A,-,B,A,A,A,B,B,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,A,B,A,A,B
TP133063,A,A,A,A,A,B,B,B,B,A,B,B,-,A,A,B,B,B,A,B,B,-,A,A,B,B,B,B,A,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,A,B,B,B,B,A,A,B,A,B,B,A,B,A,B,A,B,B,A,A,B,A,A,B,B,A,A,A,B,B,A,A,B,A,B,A,B,A,A,-,B,A,B,B,B,A,B,A,A,B
TP133304,A,A,B,A,B,A,A,B,B,B,B,B,-,A,B,B,B,B,B,A,B,-,A,A,A,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B,A,A,B,A,B,A,B,A,B,A,A,A,A,A,B,A,B,B,B,A,B,A,A,A,B,A,A,B,B,B,B,A,B,B,A,A,A,A,B,B,B,B,A,A,B,A,B
TP133337,B,A,A,A,A,B,A,A,B,B,B,B,-,-,A,A,A,B,B,A,B,-,A,A,A,A,A,A,A,B,A,A,B,A,A,A,-,A,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,A,-,A,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B,B,A,B,B,A,A,A,A,B
TP133401,B,A,A,B,A,B,A,A,B,B,B,B,-,A,A,A,A,B,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B,B,A,B,A,A,A,A,A,B
TP133429,B,A,A,B,B,B,A,B,B,B,B,B,-,B,A,B,A,A,B,A,B,A,B,B,B,A,B,B,B,A,B,A,A,B,B,B,B,A,B,A,B,A,A,B,A,B,A,-,A,A,B,B,B,B,A,A,B,B,A,A,B,B,A,B,A,B,A,B,B,A,B,B,A,A,B,B,A,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,B
TP133520,B,A,B,B,B,A,A,B,A,B,B,B,A,B,A,B,A,A,B,B,A,-,B,B,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,A,B,A,B,A,A,A,A,B,A,B,A,B,A,B,B,A,B,A,B,A,A,B,B,B,B,B,A,B,B,A,B
TP133589,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,-,-,B,B,B,B,B,B,B,A,B,B,A,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,B,A,A,B,B,A,B,A,A,A,A,B,B,A,A,A,B,A,A,B,A,A,A,B,A,B,B,A,B,A,B,B,A,B,B,A,A,B,A,B,A,B,B,A,B
TP133667,A,B,B,B,A,A,A,A,A,B,B,B,-,B,B,A,A,B,B,A,B,-,A,A,B,B,B,A,A,B,B,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,B,B,B,B,B,A,B,B,A,A,B
TP134042,A,A,B,A,B,A,B,B,A,A,B,A,-,B,B,A,A,A,A,B,B,-,A,B,B,B,B,B,B,A,A,B,B,A,A,B,A,A,A,A,-,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,B,A,B,B,A,A,B
TP134149,A,A,A,B,B,B,A,A,B,B,B,A,A,B,A,B,A,B,A,A,B,-,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B
TP134212,A,A,B,B,B,B,A,A,B,B,B,A,-,A,A,A,B,B,B,A,A,-,A,B,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,A,A,A,B,A,B,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,A,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP134233,A,A,A,B,B,B,A,A,B,B,B,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,B,A,A,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B
TP134276,A,B,A,B,B,A,A,A,A,A,A,A,-,A,B,A,B,A,B,A,A,-,A,B,B,B,A,B,B,B,B,A,B,B,B,A,B,B,A,A,B,B,A,A,A,A,B,B,B,A,A,B,A,B,B,B,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,A,A,B,A,A,A,A,B
TP134280,B,A,B,B,B,A,A,B,A,B,B,B,A,B,B,B,A,A,B,B,A,-,A,B,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,A,B,A,B,A,A,A,A,B,A,B,A,B,A,B,B,A,B,A,B,A,A,B,B,B,B,A,A,B,B,A,B
TP134459,A,A,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,B,A,B,A,B,B,A,A,A,B,A,B,A,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,B,A,B,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,A,B,B,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B,B,B,A,B
TP134509,B,A,A,A,A,B,A,A,B,B,B,B,-,-,A,A,A,B,B,A,B,-,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,A,A,A,B,B,B,B,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,B,B,A,B,B,A,A,A,A,B
TP134620,B,A,A,B,B,A,B,A,B,A,B,A,A,B,A,A,A,A,A,A,A,-,B,B,B,A,B,B,A,A,B,B,B,A,B,A,B,A,A,A,A,A,B,A,-,-,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,B,A,A,B,B,A,B,B,A,-,A,B,A,B,A,B,A,A,B,A,A,A,B,A,A,A,B,B,A,B
TP134661,B,B,A,A,A,A,A,B,B,B,A,A,-,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,A,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B
TP134736,B,B,B,A,A,A,A,B,A,A,B,A,A,A,A,A,B,A,A,B,B,-,B,A,A,A,B,B,B,A,A,B,A,B,A,B,A,B,B,A,A,B,B,A,B,A,B,B,B,A,A,A,A,B,A,A,A,B,A,A,B,B,A,B,B,A,A,B,A,B,B,B,B,B,A,B,B,A,A,A,B,A,B,A,A,A,B,B,A,A,B,A,A,B
TP134772,B,B,B,B,B,B,B,B,B,A,B,B,A,B,A,B,A,A,B,A,A,-,A,B,A,B,B,A,B,B,A,A,B,B,A,A,B,A,B,B,B,A,A,B,B,B,B,B,A,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,B,A,B,B,A,B,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B
TP134859,B,A,A,B,A,B,B,A,B,A,B,A,B,A,B,B,A,A,B,B,A,-,A,A,A,B,A,A,B,A,B,B,B,A,B,B,B,B,A,A,A,B,B,B,A,B,B,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,A,B,A,A,A,A,A,A,B,A,B,A,B,B,B,B,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,B
TP135076,A,A,A,B,B,B,A,A,B,B,B,A,A,B,A,B,A,B,A,A,B,B,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,-,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,B,A,A,A,B,-,A,A,B,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B
TP135110,A,B,A,A,A,A,B,A,A,B,B,B,-,A,A,B,A,B,B,A,A,-,B,B,B,A,A,B,A,B,-,A,B,B,B,B,B,B,A,B,B,B,A,A,A,A,B,A,A,-,A,B,A,A,A,A,B,B,A,B,A,A,B,A,B,A,B,A,A,B,A,A,A,B,B,B,A,B,B,A,B,A,A,A,B,B,B,A,A,B,B,B,A,B
TP135172,B,B,A,A,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,-,B,B,B,B,-,B,B,A,A,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B
TP135178,B,A,A,B,A,B,A,A,B,B,B,B,B,A,A,A,A,B,B,A,B,-,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,A,A,A,A,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,-,B,B,A,B,B,A,B,A,A,A,A,A,B
TP135231,A,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,B,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,B,B,B,B,B,A,A,B,A,A,B
TP135276,A,B,B,A,B,A,A,B,A,A,B,A,A,B,B,A,B,A,A,B,B,A,A,B,A,A,B,B,A,B,B,B,B,A,A,A,A,A,B,A,A,B,B,B,B,A,A,B,B,B,A,B,B,B,A,A,-,A,A,A,B,A,A,B,A,A,B,B,A,A,A,B,B,B,A,B,B,A,-,B,A,-,B,A,A,A,B,B,A,A,A,A,A,B
TP135505,A,A,B,B,B,B,A,A,B,B,B,A,-,B,A,A,B,B,B,A,B,B,A,B,A,A,B,A,A,B,A,A,A,B,B,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP135601,A,B,A,A,B,B,A,B,B,B,-,A,-,B,A,B,A,A,A,A,B,-,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,B,B,A,B,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,-,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B
TP135636,A,B,B,A,B,B,A,A,A,A,A,B,A,A,B,A,-,A,B,A,A,-,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,A,A,B,B,B,A,B,A,B,A,A,B,A,B,B,B,A,B,A,B,A,A,B,B,A,A,A,B,B,A,B,B,A,A,A,A,B,A,A,B,B,A,B,A,B,B,A,A,B,A,B,A,A,B,A,B
TP135642,A,A,A,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,A,-,A,B,A,B,B,B,B,A,A,A,A,A,B,A,B,B,A,B,B,B,B,-,A,B,A,A,B,B,B,B,A,B,A,A,B,A,A,B,B,B,A,B,B,A,A,B,A,A,A,B,A,A,B,B,B,A,B,A,A,A,A,A,A,B,B,B,B,A,B,B,A,B
TP135669,B,A,A,A,A,A,A,A,A,B,B,A,-,B,B,B,A,B,A,B,A,-,B,A,B,A,A,B,B,A,A,B,B,A,A,B,A,A,B,B,A,A,A,B,B,B,A,B,A,A,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,B,B,B,B,B,A,A,A,B
TP135778,B,B,B,A,A,A,A,B,A,A,B,A,A,A,B,A,B,A,B,B,B,-,B,B,A,A,B,B,B,B,B,B,A,B,A,B,A,B,B,A,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,A,A,B,B,A,A,B,A,A,B
TP135856,B,A,B,A,B,B,A,B,A,A,B,A,A,A,B,A,B,A,A,B,A,-,B,A,A,A,B,B,-,B,A,A,B,A,B,B,A,B,B,A,A,B,B,A,A,A,A,A,B,B,B,B,B,A,B,B,B,B,B,A,A,B,A,B,B,A,B,A,A,B,B,B,A,B,A,A,A,A,B,A,B,A,B,A,A,A,A,B,B,B,B,B,A,B
TP135884,B,A,A,-,A,B,B,A,B,B,B,B,-,-,A,A,A,B,B,A,B,-,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,A,-,A,B,B,B,B,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,B,B,A,B,B,A,A,A,A,B
TP135979,B,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,B,A,B,B,-,B,B,B,B,-,B,B,A,A,A,B,B,B,B,A,A,B,B,A,A,A,A,B,B,A,B,A,A,A,B,A,A,B,A,B,A,A,-,B,A,B,A,A,B,B,B,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,A,B,B,B,A,A,A,A,B
TP135980,A,A,B,B,B,B,A,A,B,B,B,A,-,A,A,A,B,B,B,A,A,-,A,B,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,A,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP136065,B,B,B,A,B,A,B,B,B,A,B,A,A,B,A,B,B,B,B,B,A,-,A,A,A,A,A,B,B,A,A,B,A,A,B,B,B,A,B,B,A,A,B,B,A,B,B,B,A,A,A,-,B,B,B,A,B,A,A,A,B,B,B,A,A,A,B,B,A,A,-,B,A,-,B,A,A,A,B,B,B,B,A,A,B,A,B,A,B,B,B,A,A,B
TP136099,A,-,B,A,A,B,B,B,B,B,B,A,B,B,B,B,A,A,-,B,A,-,B,B,A,-,B,B,A,B,A,A,A,A,A,B,A,A,B,A,B,A,B,B,A,B,B,A,A,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,A,-,A,A,A,B,A,B
TP136260,B,B,B,A,A,A,A,A,A,A,B,A,-,A,A,A,B,A,A,B,B,-,B,A,A,A,B,B,B,A,A,B,B,B,A,B,A,B,B,A,A,B,B,A,B,A,B,B,B,A,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B,A,A,B,A,B,B,B,B,B,A,B,B,A,A,A,B,A,B,A,A,A,-,B,A,A,B,A,A,B
TP136275,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,-,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,A,A,B,B,B,A,A,A,B,A,A,B,A,B,B,B,A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,B,A,A,A,A,B,A,A,B,B,A,B,A,B,B,-,A,B,A,B,A,B,B,A,B
TP136350,A,A,B,A,B,B,B,B,A,A,B,B,-,B,A,A,A,A,A,B,B,-,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,B,A,A,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,B,A,B,B,A,A,B
TP136415,B,B,B,B,A,B,A,B,A,B,B,A,A,B,A,A,A,A,B,B,B,-,A,B,B,B,B,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,A,B,B,B,B,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,B,A,A,B,A,A,B,A,A,A,B
TP136466,A,B,A,B,B,B,A,B,A,A,B,B,B,B,B,B,A,B,A,B,A,-,A,-,A,A,A,B,B,A,A,A,B,A,B,-,A,A,A,B,A,A,A,B,B,B,B,A,B,A,A,B,A,-,A,A,A,B,B,A,B,A,B,B,A,A,A,B,B,B,A,B,B,A,A,B,A,B,A,B,A,A,A,B,B,A,A,B,B,B,A,B,A,B
TP136514,B,A,B,A,-,A,B,B,B,A,B,A,-,B,B,B,A,B,B,B,A,-,B,A,A,A,A,B,B,A,B,A,A,A,B,A,B,A,B,B,A,A,-,B,A,B,B,A,A,B,A,B,B,A,B,A,B,A,A,A,B,B,B,B,A,A,B,B,A,A,B,B,A,A,B,A,A,A,B,B,B,B,A,-,B,A,B,A,B,B,B,B,A,B
TP136556,A,B,A,B,B,B,B,A,B,B,A,A,B,B,B,B,A,B,A,B,A,A,B,A,B,A,B,A,A,B,A,A,A,B,A,-,B,B,A,B,A,B,A,B,B,A,B,A,B,B,B,A,B,B,B,B,B,A,B,B,A,B,A,B,A,A,B,A,A,A,A,A,B,A,A,B,A,A,B,A,A,B,A,B,B,A,A,A,A,B,B,A,A,B
TP136680,B,A,A,A,A,B,B,A,B,B,B,B,-,-,A,A,A,B,B,A,B,-,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,A,A,A,B,B,B,B,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,B,B,A,B,B,A,A,A,A,B
TP136697,B,B,B,A,B,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,B,-,B,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,-,A,A,B,B,A,B,A,B,B,B,A,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B,A,A,B,B,B,B,B,B,B,A,B,B,A,B,A,B,A,B,A,-,A,B,B,B,A,B,A,A,B
TP136775,A,A,A,B,B,A,B,A,A,B,A,A,B,A,B,B,A,A,B,A,B,-,B,B,B,A,A,B,B,B,A,B,A,A,A,A,A,B,B,B,B,B,A,A,A,A,B,B,B,B,A,B,A,A,B,B,A,A,A,B,B,A,A,B,A,B,B,B,A,B,A,A,B,B,B,B,A,B,B,A,B,A,A,B,B,B,B,A,A,A,A,A,A,B
TP136832,A,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,-,A,A,B,B,B,A,B,B,A,B,A,A,A,B,-,B,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,B,B,B,B,B,A,A,B,A,A,B
TP136871,B,A,A,B,A,A,A,A,B,A,A,A,-,B,B,A,A,A,B,A,A,-,B,A,A,A,B,B,A,A,B,B,B,A,B,A,B,B,A,B,A,A,A,A,B,B,A,A,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,A,B,B,B,A,A,B,A,A,A,B,A,B,B,B,B,A,A,A,A,B,A,A,B,A,A,B,B,A,B
TP136873,B,A,A,A,A,A,B,B,A,B,A,A,A,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,A,A,B,A,B,A,A,B,A,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,B,B,B,B,A,B,B,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,B
TP136925,B,A,A,A,A,A,B,B,A,B,A,A,A,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,A,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B
TP137022,A,A,B,A,B,A,B,-,A,A,B,A,-,B,B,A,A,A,A,B,B,-,A,B,B,B,B,B,B,A,A,B,B,A,A,B,A,A,-,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,A,B,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,B,A,B,A,B,B,A,A,B
TP137138,A,A,A,B,B,B,A,A,B,B,B,A,-,B,A,B,B,B,A,A,B,-,B,B,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,B,A,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,B
TP137157,-,B,A,A,B,A,B,A,A,B,B,A,A,A,B,-,B,A,B,A,A,-,A,B,B,B,A,B,A,B,B,B,A,A,B,B,B,A,B,B,A,A,A,A,B,B,A,A,A,B,A,A,B,A,A,A,A,B,-,B,A,A,B,B,B,A,A,A,A,B,A,A,A,B,B,B,B,B,B,A,A,A,A,A,B,B,A,B,B,B,-,A,A,B
TP137162,B,B,A,A,B,A,A,A,A,A,B,A,A,B,B,B,A,B,B,A,B,-,B,B,B,A,A,B,B,A,B,B,A,B,A,A,B,A,B,B,A,A,B,A,B,B,A,A,A,A,B,A,A,A,A,B,B,A,A,-,A,B,A,B,B,B,A,B,B,B,B,A,B,-,B,A,B,B,A,B,B,B,B,B,B,-,A,A,B,B,B,A,A,B
TP137167,A,A,B,B,A,B,B,B,B,A,B,B,A,-,B,B,B,A,B,A,B,-,A,A,A,A,A,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,A,B,A,A,B,A,A,B,A,A,B,B,B,A,B,A,B,A,A,B,B,B,B,B,B,B,B,B,A,B,A,A,B,A,-,A,A,A,B,B,A,A,B,A,A,A,A,A,B,B,A,B
